location_id,location_name,year_id,estimate_type,indicator_id,indicator_short,ihme_indicator_description,indicator_outline,indicator_unit,target_description,goal_description,scaled_value,scaled_lower,scaled_upper
18,Thailand,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,38.9,34.3,42.4
19,Timor-Leste,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,59.6,22.4,95.9
20,Vietnam,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,46.8,42.4,50.4
22,Fiji,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,63.6,58.7,67.6
23,Kiribati,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,90.3,82.9,95.0
24,Marshall Islands,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,64.3,27.1,98.8
25,Federated States of Micronesia,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,43.0,4.4,85.4
26,Papua New Guinea,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,45.6,21.1,70.5
27,Samoa,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,63.7,26.3,98.0
28,Solomon Islands,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,64.7,27.4,98.8
29,Tonga,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,72.8,65.6,79.7
30,Vanuatu,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,64.1,26.4,98.5
33,Armenia,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,64.4,58.4,68.8
34,Azerbaijan,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,70.7,64.6,76.1
35,Georgia,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,55.5,47.5,61.3
36,Kazakhstan,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,51.9,47.2,57.2
37,Kyrgyzstan,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,50.6,44.2,56.6
38,Mongolia,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,77.3,66.4,91.9
39,Tajikistan,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,60.9,54.4,70.9
40,Turkmenistan,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,70.9,65.8,74.6
41,Uzbekistan,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,62.2,53.2,76.5
43,Albania,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,99.9,98.4,100.0
44,Bosnia and Herzegovina,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,99.9,99.1,100.0
45,Bulgaria,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,74.7,70.8,78.3
46,Croatia,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,83.4,78.1,88.7
47,Czech Republic,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,83.2,77.2,89.5
48,Hungary,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,82.4,76.8,87.3
49,Macedonia,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,91.6,87.4,94.9
50,Montenegro,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,81.9,77.6,85.6
51,Poland,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,76.8,69.2,84.8
52,Romania,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,62.6,58.6,66.3
53,Serbia,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,78.7,72.3,83.8
54,Slovakia,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,92.0,87.2,95.3
55,Slovenia,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,89.2,83.6,93.3
57,Belarus,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,43.5,38.0,48.6
58,Estonia,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,47.5,42.0,52.3
59,Latvia,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,43.5,40.3,46.7
60,Lithuania,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,64.5,57.5,78.9
61,Moldova,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,47.1,41.8,51.7
62,Russian Federation,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,26.2,22.5,28.9
63,Ukraine,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,32.5,28.3,36.6
66,Brunei,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,59.6,52.7,66.6
67,Japan,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,82.0,76.0,88.5
68,South Korea,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,74.7,65.9,86.1
69,Singapore,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,73.1,66.1,80.2
71,Australia,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,61.8,55.7,68.2
72,New Zealand,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,65.6,58.8,73.9
74,Andorra,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,68.4,40.6,94.2
75,Austria,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,57.9,51.7,65.3
76,Belgium,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,55.7,49.2,65.0
77,Cyprus,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,58.4,52.8,63.1
78,Denmark,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,59.4,52.8,68.0
79,Finland,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,72.7,64.7,85.0
80,France,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,57.8,50.3,65.7
81,Germany,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,59.3,53.9,65.6
82,Greece,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,61.1,54.3,66.9
83,Iceland,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,61.4,55.3,70.4
84,Ireland,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,52.8,46.0,64.0
85,Israel,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,58.3,52.6,66.4
86,Italy,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,52.3,46.0,58.5
87,Luxembourg,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,49.7,43.5,59.5
88,Malta,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,44.1,37.2,51.8
89,Netherlands,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,69.7,63.3,77.8
90,Norway,2017,past,1000,HIV Incid,"Indicator 3.3.1: Age-standardised rate of new HIV infections (per 1,000 population)",3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,62.0,55.9,69.8
